timestamp,ip_address,session_id,crawler_probability,reason
2026-06-16 15:14:28,127.0.0.1,00745cddab1978af,0.8559,crawler_prob=85.59%>=80%
2026-06-16 15:14:32,127.0.0.1,30a50e5a51359ed7,0.8559,crawler_prob=85.59%>=80%
2026-06-16 15:14:36,127.0.0.1,2746f4744c206b06,0.8559,crawler_prob=85.59%>=80%
2026-06-16 15:14:40,127.0.0.1,095622ff1712ba14,0.8559,crawler_prob=85.59%>=80%
2026-06-16 15:14:44,127.0.0.1,0fb61643a7966104,0.8559,crawler_prob=85.59%>=80%
2026-06-16 15:14:48,127.0.0.1,e8afa1a32fd439dd,0.8559,crawler_prob=85.59%>=80%
2026-06-16 15:14:51,127.0.0.1,f43e5a890b1ddfc2,0.8559,crawler_prob=85.59%>=80%
2026-06-16 15:14:55,127.0.0.1,e209936ab4cd4079,0.8559,crawler_prob=85.59%>=80%
2026-06-16 15:14:59,127.0.0.1,fe369ae68c2b066b,0.8559,crawler_prob=85.59%>=80%
2026-06-16 15:15:03,127.0.0.1,9d42067360751cdf,0.8559,crawler_prob=85.59%>=80%
2026-06-16 15:15:07,127.0.0.1,133ee498d0aae87f,0.8559,crawler_prob=85.59%>=80%
2026-06-16 15:15:11,127.0.0.1,695bac953e7545fe,0.8559,crawler_prob=85.59%>=80%
2026-06-16 15:15:15,127.0.0.1,18d4d48edeb7b91f,0.8559,crawler_prob=85.59%>=80%
2026-06-16 15:15:19,127.0.0.1,58ffa1689cc9de77,0.8559,crawler_prob=85.59%>=80%
2026-06-16 15:15:23,127.0.0.1,44a800173317cfaf,0.8559,crawler_prob=85.59%>=80%
2026-06-16 15:15:27,127.0.0.1,8dde6721217f9b6c,0.8559,crawler_prob=85.59%>=80%
2026-06-16 15:15:31,127.0.0.1,4b88c8b0d845a117,0.8559,crawler_prob=85.59%>=80%
2026-06-16 15:15:35,127.0.0.1,878d47445694240d,0.8559,crawler_prob=85.59%>=80%
2026-06-16 15:15:39,127.0.0.1,c3a5ec8c4fec385d,0.8559,crawler_prob=85.59%>=80%
2026-06-16 15:15:44,127.0.0.1,949cea307124f07c,0.8559,crawler_prob=85.59%>=80%
2026-06-20 23:24:27,127.0.0.1,1566f8564abd2887,0.9801,crawler_prob=98.01%>=80%
2026-06-20 23:24:31,127.0.0.1,cda8b4d3924c4ccb,0.9801,crawler_prob=98.01%>=80%
2026-06-20 23:24:35,127.0.0.1,f9e73d88ee7da468,0.9801,crawler_prob=98.01%>=80%
2026-06-20 23:24:38,127.0.0.1,32a2c5fcf9970721,0.9801,crawler_prob=98.01%>=80%
2026-06-20 23:24:42,127.0.0.1,4569fb5d014f9f1b,0.9801,crawler_prob=98.01%>=80%
2026-06-24 18:10:30,218.208.8.83,ce4d8cacd867fafd,0.8970,crawler_prob=89.70%>=80%
2026-06-24 18:12:23,211.25.195.218,0e9d4422e10da6cb,0.8337,crawler_prob=83.37%>=80%
2026-06-24 18:19:09,211.25.195.210,2ba2d96dfa84db6c,0.8970,crawler_prob=89.70%>=80%
2026-06-24 18:20:32,218.208.8.99,a602a9eae2615580,0.9143,crawler_prob=91.43%>=80%
2026-06-24 18:22:10,211.25.195.229,f849487b88e8d219,0.8970,crawler_prob=89.70%>=80%
2026-06-24 20:04:07,211.25.195.231,e73fe98226682069,0.8970,crawler_prob=89.70%>=80%
2026-06-24 20:05:39,218.208.8.67,708ff7dd1100427d,0.9133,crawler_prob=91.33%>=80%
